trap_year,Z1,Z2,Z3
D_D1-2-14_2012,0.036293913643181006,-0.025033725858381067,-0.011893360045471896
D_D1-2-15_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-2-16_2012,-0.06391786504495617,-0.05745164102259795,-0.5731823454059132
D_D1-2-17_2012,-0.00648869342664057,0.0031843128997503523,0.6001435565267906
D_D1-2-18_2012,-0.027342870949292344,-0.5952551382293401,-1.0996791953134888
D_D1-2-19_2012,0.23859581021554843,0.05643662004456243,-0.0258056043579498
D_D1-2-1_2012,-0.03952067374412854,-0.22384926929725127,0.13245735532832315
D_D1-2-20_2012,-0.04896373419490265,0.11775239009944592,0.0011334610876021708
D_D1-2-21_2012,-0.07080135408130026,-0.011941501869053461,-0.5593692080367956
D_D1-2-22_2012,-0.04896373419490265,0.11775239009944592,0.0011334610876021708
D_D1-2-23_2012,-0.05676107833663601,0.2534692643373776,-0.03914976123077776
D_D1-2-24_2012,-0.06556131417170254,0.16429535507321397,0.048242083769683336
D_D1-2-25_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-2-26_2012,-0.05676107833663601,0.2534692643373776,-0.03914976123077776
D_D1-2-27_2012,-0.07840456334485843,0.056572938083921664,-0.01108241640895407
D_D1-2-28_2012,0.23188701030112133,-0.06039991580375137,0.04551956701222386
D_D1-2-29_2012,-0.04920309740953093,0.11946702930094413,0.0019381057748334013
D_D1-2-2_2012,-0.06354352271137703,-0.1345217113397389,-0.5146482557003593
D_D1-2-30_2012,0.04576322955926607,-0.6790245390559858,-0.4691707918126787
D_D1-2-31_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-2-32_2012,0.24053087397156636,0.0392477874566905,-0.03336167818968413
D_D1-2-33_2012,0.028362324241391422,-0.1824266177729094,0.2828798860559093
D_D1-2-34_2012,0.02530523794312804,-0.6370459147622998,-0.14526412170807124
D_D1-2-35_2012,0.04610502623741173,-0.18992151667411034,-0.2242267470209988
D_D1-2-36_2012,-0.15813952387055918,-0.11020999673263421,0.09205320578576656
D_D1-2-37_2012,0.059394638820190415,0.17783863769767688,-0.033009113240309446
D_D1-2-38_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-2-39_2012,0.030985707883539812,-0.41571689509326537,-0.3356222119302114
D_D1-2-3_2012,-0.07554375819133449,-0.3470624577117222,-0.9469337599969938
D_D1-2-40_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-2-41_2012,-0.015742325302943925,-0.37596388181793416,-0.6698564803938933
D_D1-2-42_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-2-43_2012,-0.13822802197611625,-0.8322389192011268,0.7576466811669231
D_D1-2-44_2012,-0.07257004641617919,-0.04258431180059158,0.20353934236758656
D_D1-2-45_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-2-46_2012,-0.03460272410695513,-0.10282682991876066,-0.5313492574321248
D_D1-2-47_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-2-48_2012,-0.05876323225931547,0.2682435188739277,-0.03277912985901328
D_D1-2-4_2012,-0.12450502156310483,0.10511009794100473,0.6082115338404477
D_D1-2-5_2012,-0.037770337412450214,0.23667550501451856,-0.001343246515297991
