,plot,subplot,census,f_type,avghgt,tbiomc,simpdv,avghgtnorm,tbiomcnorm
93,BNorth,25,2,Logged,22.466666666666665,2445.850397731896,0.7222222222222222,0.6343076594836781,0.06854838843220339
94,BNorth,25,3,Logged,21.26666666666667,2257.850231994589,0.8636363636363636,0.5882227437593344,0.0632493001993933
95,BNorth,25,4,Logged,21.409999999999997,1643.4782805141613,0.8666666666666667,0.5937273309152974,0.04593223472825124
96,BSouth,1,1,Logged,6.9363636363636365,311.81335815331823,0.8909090909090909,0.037880404212812996,0.008397108668902357
97,BSouth,1,2,Logged,6.375,298.63503953304985,0.9545454545454546,0.01632174098570513,0.008025656479724693
98,BSouth,1,3,Logged,6.01111111111111,279.1801542476541,1.0,0.002346917004480435,0.007477289124397131
99,BSouth,1,4,Logged,6.211111111111111,372.73473843432697,1.0,0.010027736291871129,0.010114276141109428
100,BSouth,2,1,Logged,7.527272727272727,403.93180812085427,0.9818181818181818,0.0605737339255581,0.010993615923740414
101,BSouth,2,2,Logged,8.6,637.497039314759,0.9818181818181818,0.10177085555792613,0.017577029099783058
102,BSouth,2,3,Logged,7.899999999999999,666.3056109587377,0.9848484848484849,0.0748879880520588,0.01838904520840705
103,BSouth,2,4,Logged,7.908333333333334,656.1549893761221,0.9848484848484849,0.0752080221890335,0.018102933549019973
104,BSouth,3,1,Logged,12.8,187.89538611758857,0.8333333333333334,0.26306806059312987,0.00490428053828376
105,BSouth,3,2,Logged,12.05,323.3807225537188,0.8571428571428572,0.23426498826541495,0.008723153512205518
106,BSouth,3,3,Logged,12.533333333333335,825.8814691760247,0.8380952380952381,0.2528269682099424,0.02288694843739337
107,BSouth,3,4,Logged,12.973333333333333,907.7666942313244,0.8380952380952381,0.26972477064220174,0.025195015724620434
108,BSouth,4,1,Logged,11.473913043478262,1672.3325482340142,0.9604743083003953,0.2121408892310832,0.04674553885455863
109,BSouth,4,2,Logged,11.600000000000001,2151.6518995074243,0.9658119658119658,0.216983144868786,0.06025592872113022
110,BSouth,4,3,Logged,12.878125,3474.8865928660075,0.9737903225806451,0.26606838062726684,0.09755343516386561
111,BSouth,4,4,Logged,13.326666666666664,3651.0334229318446,0.9747126436781609,0.28329421804992516,0.10251841799134323
112,BSouth,5,1,Logged,11.021739130434783,2617.9352848860676,0.9723320158102767,0.1947755586682869,0.07339887883994756
113,BSouth,5,2,Logged,10.947826086956523,2064.4686059364444,0.9644268774703557,0.19193699501859907,0.057798526818064085
114,BSouth,5,3,Logged,11.534782608695652,2227.3348747863533,0.9644268774703557,0.21447852988376725,0.06238917558371553
115,BSouth,5,4,Logged,11.937155663257357,2247.2370201092854,0.9714285714285714,0.22993130347478644,0.06295014968538622
116,BSouth,6,1,Logged,13.665384615384616,3170.122599153456,0.96,0.29630237481741634,0.08896316990248819
117,BSouth,6,2,Logged,13.796,3056.5809669134546,0.96,0.3013185406443353,0.0857628156635576
118,BSouth,6,3,Logged,13.896296296296297,3640.647787581448,0.9287749287749287,0.30517032927956755,0.10222568208943747
119,BSouth,6,4,Logged,13.807692307692308,3560.1011588496704,0.9323076923076923,0.30176757315652125,0.09995534530100353
120,BSouth,7,1,Logged,12.47,1388.837975531522,0.9157894736842105,0.2503947087689353,0.03875478656781642
121,BSouth,7,2,Logged,12.152000000000001,1642.5132469745427,0.9166666666666666,0.23818220610198418,0.045905033699709566
122,BSouth,7,3,Logged,13.372,2078.321805593107,0.9299999999999999,0.28503520375506713,0.05818900161897444
123,BSouth,7,4,Logged,14.460000000000003,2049.735521272237,0.9736842105263158,0.3268188606784724,0.05738325103747681
124,BSouth,8,1,Logged,15.875,2601.282620421499,0.9545454545454546,0.38116065713676117,0.07292949660316574
125,BSouth,8,2,Logged,17.545454545454543,3177.0351449068335,0.9818181818181818,0.4453129545939444,0.08915801116614784
126,BSouth,8,3,Logged,16.057142857142857,4528.8443693840245,1.0,0.3881556889877777,0.12726093690739737
127,BSouth,8,4,Logged,17.366666666666664,4800.431958037813,1.0,0.43844676765521634,0.13491607162266941
128,BSouth,9,1,Logged,9.424999999999999,579.5937974303448,0.9545454545454546,0.13345423511841256,0.01594493273163413
129,BSouth,9,2,Logged,10.342857142857142,957.1197564355256,0.967032967032967,0.16870370934804466,0.02658611147261492
130,BSouth,9,3,Logged,11.28,2074.6100875033726,0.968421052631579,0.20469383400896088,0.05808438085135074
131,BSouth,9,4,Logged,11.785,2727.480593388463,0.968421052631579,0.2240879027096223,0.07648659024152002
132,BSouth,10,1,Logged,6.775,86.49123321697766,0.8333333333333334,0.031683379560486453,0.0020460407527692005
133,BSouth,10,2,Logged,5.95,54.8685394298409,1.0,0.0,0.0011547040676126517
134,BSouth,10,3,Logged,6.25,62.4765172261976,1.0,0.011521228931085974,0.001369147206309066
135,BSouth,10,4,Logged,6.300000000000001,63.9994553602913,1.0,0.013441433752933664,0.0014120736766875556
136,BSouth,11,1,Logged,10.590909090909092,1087.8283861311704,0.9454545454545454,0.17822992028240586,0.03027034525416778
137,BSouth,11,2,Logged,10.823076923076924,1462.951618181888,0.9358974358974359,0.18714611609853765,0.04084379925628402
138,BSouth,11,3,Logged,12.85,2530.7487422521176,0.9230769230769231,0.2649882654149775,0.0709413853567954
139,BSouth,11,4,Logged,13.441666666666665,2629.0385642119686,0.8939393939393939,0.2877106891401748,0.07371184269607362
140,BSouth,12,1,Logged,13.177777777777777,932.8225159608887,0.9444444444444444,0.2775762748026455,0.02590125451738855
141,BSouth,12,2,Logged,13.600000000000001,890.2009134606511,0.9642857142857143,0.29379133774269256,0.024699895830353633
142,BSouth,12,3,Logged,12.763636363636364,747.3389109148806,0.9272727272727272,0.26167154799542247,0.020673099611121633
