plt_sub_cen,Z1,Z2,Z3
BNorth_sp07_c4,0.5368415371993207,-1.2648809406628996,-0.17760986133846432
BNorth_sp08_c1,0.5120179267428406,-0.31294776844431565,0.16132744630670348
BNorth_sp08_c2,0.8082194100916793,-0.8815687125083111,0.3920494439173005
BNorth_sp08_c3,0.39947949544660455,-1.1522488478776904,0.8174720131955108
BNorth_sp08_c4,0.00018078809202623503,-0.6743209979992684,0.7452908760674125
BNorth_sp09_c1,0.1366721684296664,0.07676955266153249,0.15438970306036048
BNorth_sp09_c2,0.16890673173238885,0.11030489134481193,0.10033093975971934
BNorth_sp09_c3,0.14073078759444407,-0.19768719979650448,0.2991869867082314
BNorth_sp09_c4,0.14073078759444407,-0.19768719979650448,0.2991869867082314
BNorth_sp10_c1,0.9962823756108166,-1.2122007266778676,0.9930036677273502
BNorth_sp10_c2,1.1478866448452494,-1.160330055709579,0.8069553686812558
BNorth_sp10_c3,1.1210959913860776,-1.1544813071037434,0.681402179506633
BNorth_sp10_c4,0.7857189560459075,-0.8297270047264771,0.355428704018396
BNorth_sp11_c2,0.0780584192201586,0.21882148885511438,0.07988906222475228
BNorth_sp11_c3,0.0780584192201586,0.21882148885511438,0.07988906222475228
BNorth_sp12_c1,1.1727819535311672,-2.255219231530118,-0.8540183698993744
BNorth_sp12_c2,1.0962875570102246,-2.126205400629489,-0.7209020461824245
BNorth_sp12_c3,1.395598441523587,-2.3611496004400196,-0.959430577439607
BNorth_sp12_c4,1.2865396450477837,-2.18778355172543,-0.9996135442534447
BNorth_sp13_c1,1.8677716723306579,-0.8153034028279573,-1.4452566072231297
BNorth_sp13_c2,2.0966820192452262,-1.0670707128293577,-1.6702021751335965
BNorth_sp13_c3,1.866974848736393,-0.7352774235216084,-1.7444477473493094
BNorth_sp13_c4,1.837401750852865,-0.6691693320965644,-1.7926657381739646
BNorth_sp14_c1,-0.05864692696432085,-1.4463396452861443,-1.151822544837995
BNorth_sp14_c2,0.47528764437621696,-1.899663744237806,-1.0520596647093299
BNorth_sp14_c3,0.821913149414828,-1.4393984348129965,-1.8344194122866304
BNorth_sp14_c4,0.821913149414828,-1.4393984348129965,-1.8344194122866304
BNorth_sp15_c1,0.11121636375791209,-0.34984815945944725,-0.24533578143053003
BNorth_sp15_c2,0.10170338069868322,-0.6612006179917593,-0.36215171378082306
BNorth_sp15_c3,-0.07505478886090325,-1.3515446682114793,0.16856964789231446
BNorth_sp15_c4,-0.012442179419561411,-1.170439167472809,0.24016291685532878
BNorth_sp16_c1,-0.6906111335111538,-0.9218141421588125,-1.7402402842777447
BNorth_sp16_c2,-0.799542554611925,-0.8550860950243858,-1.736642113939498
BNorth_sp16_c3,-0.45863394760718706,-1.324180770169496,-2.051582635434506
BNorth_sp16_c4,-0.42328854120278847,-1.321471395102197,-2.0010449029828434
BNorth_sp17_c1,-1.2656490459059913,-1.7728346884607642,-0.8886151641716893
BNorth_sp17_c2,-1.191853919603824,-1.7711811323931412,-1.2795918957546268
BNorth_sp17_c3,-1.0717895040629704,-1.9329072802406722,-1.2002703603654146
BNorth_sp17_c4,-1.0717895040629704,-1.9329072802406722,-1.2002703603654146
BNorth_sp18_c1,0.5101249727083098,-0.46182480046270014,-1.4833459631494381
BNorth_sp18_c2,0.4999291178733298,-0.583174624353209,-1.4890668003303822
BNorth_sp18_c3,0.6662264687921364,-0.6941590147308844,-1.79534950240723
BNorth_sp18_c4,0.6301696500216964,-0.6418969478880713,-1.831391531668647
BNorth_sp19_c1,3.1804400262090597,-0.5552742701293737,-1.6703816139500391
BNorth_sp19_c2,3.572492117162764,-0.363416430276439,-1.7551421118044477
BNorth_sp19_c3,3.3180043593582402,-0.1521183398970188,-1.9943690969740013
BNorth_sp19_c4,3.1697927197899283,-0.2118076501725014,-1.9594113541029905
BNorth_sp20_c1,1.1786436905037825,-1.5623796717821727,-1.318294731316998
BNorth_sp20_c2,1.195447240997532,-1.6372305004526329,-1.2675459997379697
BNorth_sp20_c3,1.316985885944768,-1.7921894005144123,-1.0594103551394778
BNorth_sp20_c4,1.316985885944768,-1.7921894005144123,-1.0594103551394778
BNorth_sp21_c1,0.35860712536958017,-0.5725930080383212,0.7303141557818094
BNorth_sp21_c2,0.5116377398653151,-0.33508791282043116,0.9965161577643754
BNorth_sp21_c3,0.6672975194770339,-0.18815177643871023,0.7825064274068516
BNorth_sp21_c4,0.654802186971809,-0.14503075106285185,0.7620989525355316
BNorth_sp22_c1,0.7745784427892575,-0.9434534548112697,0.23761192280608515
BNorth_sp22_c2,0.908077108860889,-1.0583230022780539,0.1379855424763793
BNorth_sp22_c3,0.6816975552146055,-1.1210701098869347,-0.1770137320708283
BNorth_sp22_c4,0.6816975552146055,-1.1210701098869347,-0.1770137320708283
BNorth_sp23_c1,0.6419275473232917,-0.14509446052578445,0.2995279304214558
