Forest type,Plot,Core,Data type,Date,Date of previous collection,Days between collections,"CoarseRoots, Mg C ha-1 year-1","FineRoots, Mg C ha-1 year-1",Remarsk
Logged,Tower,2,NPP,28/10/2011,20/07/2011,100,0.013262911924325,0.231273491332912,
Logged,Tower,3,NPP,28/10/2011,20/07/2011,100,0,0.633138236714959,
Logged,Tower,4,NPP,28/10/2011,20/07/2011,100,0.322730856825232,1.40773504546962,
Logged,Tower,5,NPP,28/10/2011,20/07/2011,100,0.008841941282883,0.936043541742161,
Logged,Tower,6,NPP,28/10/2011,20/07/2011,100,0,2.05321957967394,
Logged,Tower,7,NPP,28/10/2011,20/07/2011,100,0.685250449423439,1.03924569254523,
Logged,Tower,8,NPP,28/10/2011,20/07/2011,100,0,0.512792306295797,
Logged,Tower,9,NPP,28/10/2011,20/07/2011,100,0,0.651941583458847,
Logged,Tower,10,NPP,28/10/2011,20/07/2011,100,0.610093948518932,1.88794077439533,
Logged,Tower,11,NPP,28/10/2011,20/07/2011,100,2.21932726200365,0.487533530455423,
Logged,Tower,12,NPP,28/10/2011,20/07/2011,100,0.017683882565766,0.539459470721838,
Logged,Tower,13,NPP,28/10/2011,20/07/2011,100,0.008841941282883,0.434715114261639,
Logged,Tower,14,NPP,28/10/2011,20/07/2011,100,0.349256680673881,3.00447322119424,
Logged,Tower,15,NPP,28/10/2011,20/07/2011,100,0,1.15133889331218,
Logged,Tower,16,NPP,28/10/2011,20/07/2011,100,0,1.89397619347233,
Logged,LF,1,Stock,04/11/2011,,,4.50939005427037,2.53730918329719,
Logged,LF,2,Stock,04/11/2011,,,0.322730856825232,1.51244165156575,
Logged,LF,3,Stock,04/11/2011,,,10.5263310972723,4.74065323968935,
Logged,LF,4,Stock,04/11/2011,,,0.419992210936946,1.1345757630783,
Logged,LF,5,Stock,04/11/2011,,,2.4801645298487,1.51938692403618,
Logged,LF,6,Stock,04/11/2011,,,0.464201917351361,1.29228577380236,
Logged,LF,7,Stock,04/11/2011,,,4.1291865791064,7.7407955732708,
Logged,LF,8,Stock,04/11/2011,,,3.09025847836764,0.957246632390922,
Logged,LF,9,Stock,04/11/2011,,,24.9608002415789,5.84266342383375,
Logged,LF,10,Stock,04/11/2011,,,2.43153385279285,3.05352222533289,
Logged,LF,11,Stock,04/11/2011,,,4.11592366718207,3.58646969407974,
Logged,LF,12,Stock,04/11/2011,,,0.813458598025243,3.58830216956156,
Logged,LF,13,Stock,04/11/2011,,,0.256416297203609,2.33108021368812,
Logged,LF,14,Stock,04/11/2011,,,20.1198373892004,3.69160238700173,
Logged,LF,15,Stock,04/11/2011,,,5.40242612384156,2.67755175657573,
Logged,LF,16,Stock,04/11/2011,,,2.35637735188834,3.19971821928304,
Old-growth,Belian,1,NPP,22/11/2011,20/08/2011,94,0,0.289837227635003,
Old-growth,Belian,2,NPP,22/11/2011,20/08/2011,94,0,0.225413989955236,
Old-growth,Belian,3,NPP,22/11/2011,20/08/2011,94,0.097261354111714,1.67706971359323,
Old-growth,Belian,4,NPP,22/11/2011,20/08/2011,94,0,0.444305316736202,
Old-growth,Belian,5,NPP,22/11/2011,20/08/2011,94,0,0.605922699489949,
Old-growth,Belian,6,NPP,22/11/2011,20/08/2011,94,0,0.339718830513854,
Old-growth,Belian,7,NPP,22/11/2011,20/08/2011,94,0,0.354260465314767,
Old-growth,Belian,8,NPP,22/11/2011,20/08/2011,94,0,0.829226051466707,
Old-growth,Belian,9,NPP,22/11/2011,20/08/2011,94,0.256416297203609,2.22533658774057,
Old-growth,Belian,10,NPP,22/11/2011,20/08/2011,94,0,1.3301909874677,
Old-growth,Belian,11,NPP,22/11/2011,20/08/2011,94,0,0.548830614184719,
Old-growth,Belian,12,NPP,22/11/2011,20/08/2011,94,0.039788735772974,1.62798599853989,
Old-growth,Belian,13,NPP,22/11/2011,20/08/2011,94,0,0.784356597398378,
Old-growth,Belian,14,NPP,22/11/2011,20/08/2011,94,0,0.225281008943171,
Old-growth,Belian,15,NPP,22/11/2011,20/08/2011,94,0,0.239418397806938,
Old-growth,Belian,16,NPP,22/11/2011,20/08/2011,94,0,0.26897770616852,
Old-growth,Seraya,1,NPP,20/01/2012,16/10/2011,96,0,1.5197891825683,
Old-growth,Seraya,2,NPP,20/01/2012,16/10/2011,96,0,0.657166208549071,
Old-growth,Seraya,3,NPP,20/01/2012,16/10/2011,96,0,1.78410157045668,
Old-growth,Seraya,4,NPP,20/01/2012,16/10/2011,96,0,0.378199851811728,
Old-growth,Seraya,5,NPP,20/01/2012,16/10/2011,96,0,1.19595231719694,
Old-growth,Seraya,6,NPP,20/01/2012,16/10/2011,96,0.053051647697299,0.805536197406596,
Old-growth,Seraya,7,NPP,20/01/2012,16/10/2011,96,0,2.6083663418661,
Old-growth,Seraya,8,NPP,20/01/2012,16/10/2011,96,0,0.946771376113158,
Old-growth,Seraya,9,NPP,20/01/2012,16/10/2011,96,0,1.71637598013115,
Old-growth,Seraya,10,NPP,20/01/2012,16/10/2011,96,0,1.16547386152201,
Old-growth,Seraya,11,NPP,20/01/2012,16/10/2011,96,0,0.868477510855499,
Old-growth,Seraya,12,NPP,20/01/2012,16/10/2011,96,0.159154943091895,1.57978005213007,
Old-growth,Seraya,13,NPP,20/01/2012,16/10/2011,96,0.066314559621623,0.56897292631018,
Old-growth,Seraya,14,NPP,20/01/2012,16/10/2011,96,0,2.41009073748489,
Old-growth,Seraya,15,NPP,20/01/2012,16/10/2011,96,0.782511803535152,2.56151143113302,
Old-growth,Seraya,16,NPP,20/01/2012,16/10/2011,96,0,1.54345814838185,
Old-growth,Belian,1,NPP,29/01/2012,22/11/2011,68,0.026525823848649,0.557123241515728,
Old-growth,Belian,2,NPP,29/01/2012,22/11/2011,68,0,1.75777255570835,
Old-growth,Belian,3,NPP,29/01/2012,22/11/2011,68,0,1.28698190894684,
Old-growth,Belian,4,NPP,29/01/2012,22/11/2011,68,0,1.80748919508894,
Old-growth,Belian,5,NPP,29/01/2012,22/11/2011,68,0,0.84559900943712,
Old-growth,Belian,6,NPP,29/01/2012,22/11/2011,68,0,0.199791768805331,
Old-growth,Belian,7,NPP,29/01/2012,22/11/2011,68,0,0.499725877918096,
Old-growth,Belian,8,NPP,29/01/2012,22/11/2011,68,0,0.977779971035976,
Old-growth,Belian,9,NPP,29/01/2012,22/11/2011,68,0.008841941282883,0.792487192329391,
