Forest type,Plot,Collection date,Date of the previous collection,Number of days between collections,Trap,"Trap size, m2",Leaves,Twigs,Fruit,Flower,Seed,Miscellaneous,Remarks,"Leaves, Mg C ha-1 year-1","Twigs, Mg C ha-1 year-1","Fruit, Mg C ha-1 year-1","Flower, Mg C ha-1 year-1","Seed, Mg C ha-1 year-1","Miscellaneous, Mg C ha-1 year-1","Reproductive, total, Mg C ha-1 year-1","Total, Mg C ha-1 year-1"
Logged,E,14/11/2011,01/11/2011,13,24,0.25,10.43,0,0,0.81,0,0,,5.85684615384615,0,0,0.454846153846154,0,0,0.454846153846154,6.31169230769231
Logged,E,14/11/2011,01/11/2011,13,25,0.25,9.71,0.94,0,0,0,0,,5.45253846153846,0.527846153846154,0,0,0,0,0,5.98038461538462
Old-growth,Belian,22/11/2011,22/10/2011,31,1,0.25,15.96,1.4,0,0,0,3.5,,3.75832258064516,0.329677419354839,0,0,0,0.824193548387097,0,4.9121935483871
Old-growth,Belian,22/11/2011,22/10/2011,31,2,0.25,14.92,6.56,0,0,0,1.16,,3.51341935483871,1.54477419354839,0,0,0,0.273161290322581,0,5.33135483870968
Old-growth,Belian,22/11/2011,22/10/2011,31,3,0.25,24.33,8.21,0,0,0,1.46,,5.72932258064516,1.93332258064516,0,0,0,0.343806451612903,0,8.00645161290323
Old-growth,Belian,22/11/2011,22/10/2011,31,4,0.25,14.65,0.07,0,0,0,0.5,,3.44983870967742,0.016483870967742,0,0,0,0.117741935483871,0,3.58406451612903
Old-growth,Belian,22/11/2011,22/10/2011,31,5,0.25,10.04,5.01,0,0,0,0.51,,2.36425806451613,1.17977419354839,0,0,0,0.120096774193548,0,3.66412903225806
Old-growth,Belian,22/11/2011,22/10/2011,31,6,0.25,10.05,0.1,0,0,0,0,,2.36661290322581,0.023548387096774,0,0,0,0,0,2.39016129032258
Old-growth,Belian,22/11/2011,22/10/2011,31,7,0.25,22.74,1.28,0,0,0,1.49,,5.35490322580645,0.30141935483871,0,0,0,0.350870967741935,0,6.0071935483871
Old-growth,Belian,22/11/2011,22/10/2011,31,8,0.25,18.99,0.06,0,0.19,0,0.89,,4.47183870967742,0.014129032258065,0,0.044741935483871,0,0.20958064516129,0.044741935483871,4.74029032258065
Old-growth,Belian,22/11/2011,22/10/2011,31,9,0.25,28.49,0,0,0,0,0.37,,6.70893548387097,0,0,0,0,0.087129032258065,0,6.79606451612903
Old-growth,Belian,22/11/2011,22/10/2011,31,10,0.25,19.15,0.21,0,0,0,1.12,,4.50951612903226,0.049451612903226,0,0,0,0.263741935483871,0,4.82270967741935
Old-growth,Belian,22/11/2011,22/10/2011,31,11,0.25,10.53,2.05,0,0.68,0,0.6,,2.47964516129032,0.482741935483871,0,0.160129032258065,0,0.141290322580645,0.160129032258065,3.2638064516129
Old-growth,Belian,22/11/2011,22/10/2011,31,12,0.25,20.35,0.28,0,0,0,1.8,,4.79209677419355,0.065935483870968,0,0,0,0.423870967741935,0,5.28190322580645
Old-growth,Belian,22/11/2011,22/10/2011,31,13,0.25,13.48,0.76,0,0,0,0.39,,3.17432258064516,0.178967741935484,0,0,0,0.091838709677419,0,3.44512903225806
Old-growth,Belian,22/11/2011,22/10/2011,31,14,0.25,7.86,2.69,0,0,0,0.19,,1.85090322580645,0.633451612903226,0,0,0,0.044741935483871,0,2.52909677419355
Old-growth,Belian,22/11/2011,22/10/2011,31,15,0.25,16.67,1.99,0,3.48,0,0,,3.92551612903226,0.468612903225806,0,0.819483870967742,0,0,0.819483870967742,5.21361290322581
Old-growth,Belian,22/11/2011,22/10/2011,31,16,0.25,17.22,0,0,12.59,0,0,,4.05503225806452,0,0,2.96474193548387,0,0,2.96474193548387,7.01977419354839
Old-growth,Belian,22/11/2011,22/10/2011,31,17,0.25,13.06,0.8,0,0,0,1.69,,3.07541935483871,0.188387096774194,0,0,0,0.397967741935484,0,3.66177419354839
Old-growth,Belian,22/11/2011,22/10/2011,31,18,0.25,9.39,3.51,0,0,0,0.54,,2.2111935483871,0.826548387096774,0,0,0,0.127161290322581,0,3.16490322580645
Old-growth,Belian,22/11/2011,22/10/2011,31,19,0.25,13.12,2.08,0,2.59,0,0,,3.08954838709677,0.489806451612903,0,0.609903225806452,0,0,0.609903225806452,4.18925806451613
Old-growth,Belian,22/11/2011,22/10/2011,31,20,0.25,7.09,2.73,0,0,0,0.61,,1.66958064516129,0.642870967741936,0,0,0,0.143645161290323,0,2.45609677419355
Old-growth,Belian,22/11/2011,22/10/2011,31,21,0.25,18.27,0.27,0,0,0,1.59,,4.30229032258065,0.06358064516129,0,0,0,0.37441935483871,0,4.74029032258065
Old-growth,Belian,22/11/2011,22/10/2011,31,22,0.25,25.38,0,0.05,0,0,0.62,,5.97658064516129,0,0.011774193548387,0,0,0.146,0.011774193548387,6.13435483870968
Old-growth,Belian,22/11/2011,22/10/2011,31,23,0.25,14.75,3.83,0,0,0,1.16,,3.47338709677419,0.901903225806452,0,0,0,0.273161290322581,0,4.64845161290323
Old-growth,Belian,22/11/2011,22/10/2011,31,24,0.25,8.46,5.43,0,0,0,0.44,,1.9921935483871,1.27867741935484,0,0,0,0.103612903225806,0,3.37448387096774
Old-growth,Belian,22/11/2011,22/10/2011,31,25,0.25,15.99,5.54,0,0,0,1.79,,3.76538709677419,1.30458064516129,0,0,0,0.421516129032258,0,5.49148387096774
Logged,B South,11/12/2011,13/11/2011,28,1,0.25,17.37,0.17,0,0,0,0,,4.52860714285714,0.044321428571429,0,0,0,0,0,4.57292857142857
Logged,B South,11/12/2011,13/11/2011,28,2,0.25,16.27,0.33,0,0,0,0,,4.24182142857143,0.086035714285714,0,0,0,0,0,4.32785714285714
Logged,B South,11/12/2011,13/11/2011,28,3,0.25,11.16,0.69,0,0,0,0.619999999999999,,2.90957142857143,0.179892857142857,0,0,0,0.161642857142857,0,3.25110714285714
Logged,B South,11/12/2011,13/11/2011,28,4,0.25,20.03,1.1,0,0,0,7.62,,5.22210714285714,0.286785714285714,0,0,0,1.98664285714286,0,7.49553571428572
Logged,B South,11/12/2011,13/11/2011,28,5,0.25,17.81,0.42,0,0,0,0,,4.64332142857143,0.1095,0,0,0,0,0,4.75282142857143
Logged,B South,11/12/2011,13/11/2011,28,6,0.25,10.05,0.9,0,0,0,0,,2.62017857142857,0.234642857142857,0,0,0,0,0,2.85482142857143
Logged,B South,11/12/2011,13/11/2011,28,7,0.25,29.65,4.22,0,0,0,10.45,,7.73017857142857,1.10021428571429,0,0,0,2.72446428571429,0,11.5548571428571
Logged,B South,11/12/2011,13/11/2011,28,8,0.25,19.79,3,0,0.1,0,0,,5.15953571428571,0.782142857142857,0,0.026071428571429,0,0,0.026071428571429,5.96775
Logged,B South,11/12/2011,13/11/2011,28,9,0.25,18.22,1.61,0,0,0,0,,4.75021428571429,0.41975,0,0,0,0,0,5.16996428571428
Logged,B South,11/12/2011,13/11/2011,28,10,0.25,14.35,1.84,0,0,0,0.859999999999999,,3.74125,0.479714285714286,0,0,0,0.224214285714286,0,4.44517857142857
Logged,B South,11/12/2011,13/11/2011,28,11,0.25,13.09,0.539999999999999,0.27,0.140000000000001,0,1.63,,3.41275,0.140785714285714,0.070392857142857,0.0365,0,0.424964285714286,0.106892857142857,4.08539285714286
Logged,B South,11/12/2011,13/11/2011,28,12,0.25,13.6,0.34,0,0,0,1.59,,3.54571428571429,0.088642857142857,0,0,0,0.414535714285714,0,4.04889285714286
Logged,B South,11/12/2011,13/11/2011,28,13,0.25,10.62,0,0,0,0,0,,2.76878571428571,0,0,0,0,0,0,2.76878571428571
Logged,B South,11/12/2011,13/11/2011,28,14,0.25,10.68,0.27,0,0,0,7.42,,2.78442857142857,0.070392857142857,0,0,0,1.9345,0,4.78932142857143
Logged,B South,11/12/2011,13/11/2011,28,15,0.25,17.95,0.83,0,0,0,7.43,,4.67982142857143,0.216392857142857,0,0,0,1.93710714285714,0,6.83332142857143
Logged,B South,11/12/2011,13/11/2011,28,16,0.25,12.11,0.92,0,0,0,0,,3.15725,0.239857142857143,0,0,0,0,0,3.39710714285714
Logged,B South,11/12/2011,13/11/2011,28,17,0.25,9.45,0,0,0,0,0,,2.46375,0,0,0,0,0,0,2.46375
Logged,B South,11/12/2011,13/11/2011,28,18,0.25,26.55,3.49,0.16,0.119999999999999,0,0.68,,6.92196428571429,0.909892857142857,0.041714285714286,0.031285714285714,0,0.177285714285714,0.073,8.08214285714286
Logged,B South,11/12/2011,13/11/2011,28,19,0.25,9.65,0.300000000000001,0,0,0,0,,2.51589285714286,0.078214285714286,0,0,0,0,0,2.59410714285714
Logged,B South,11/12/2011,13/11/2011,28,20,0.25,18.91,0,0,0,0,0,,4.93010714285714,0,0,0,0,0,0,4.93010714285714
Logged,B South,11/12/2011,13/11/2011,28,21,0.25,17.05,1.37,0,0,0,0,,4.44517857142857,0.357178571428571,0,0,0,0,0,4.80235714285714
Logged,B South,11/12/2011,13/11/2011,28,22,0.25,10.42,0.32,0,0,0,0,,2.71664285714286,0.083428571428572,0,0,0,0,0,2.80007142857143
Logged,B South,11/12/2011,13/11/2011,28,23,0.25,39.33,3.93,0,0,0,2.56,,10.2538928571429,1.02460714285714,0,0,0,0.667428571428572,0,11.9459285714286
Logged,B South,11/12/2011,13/11/2011,28,24,0.25,8.19,0,0,0,0,0,,2.13525,0,0,0,0,0,0,2.13525
Logged,B South,11/12/2011,13/11/2011,28,25,0.25,20.45,0.210000000000001,0.08,0.08,0,0.52,,5.33160714285714,0.05475,0.020857142857143,0.020857142857143,0,0.135571428571428,0.041714285714286,5.56364285714286
Logged,Tower,14/12/2011,27/11/2011,17,1,0.25,13.55,1.05,0,0,0,0,,5.81852941176471,0.450882352941177,0,0,0,0,0,6.26941176470588
